product_id,name,price,vendor,handle,product_url,image_url,rating
6891949424702,Eiwit Oats,€16,Upfront,oats-in-bag,https://upfront.nl/products/oats-in-bag,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Oats_Chocolade_CP_Still_v1.jpg?v=1765196885&width=750,4.7 (10105 reviews)
6593222311998,Whey Milkshake,€29,UpfrontFood,whey,https://upfront.nl/products/whey,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_WheyMilkshake_Vanille_CP_Still_v1.jpg?v=1765197585&width=750,4.8 (10051 reviews)
6955274534974,Creatine,€10,Upfront,upfront-creatine,https://upfront.nl/products/upfront-creatine,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Creatine_CP_Still_v3.jpg?v=1770117118&width=750,4.8 (4167 reviews)
15441282171263,Chiapudding,€17,Upfront,chiapudding,https://upfront.nl/products/chiapudding,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Chiapudding_MangoPassievrucht_CP_Still_v1.jpg?v=1768463090&width=750,4.3 (412 reviews)
15502746288511,Endurance Bar,€15,Upfront,endurance-bar-1,https://upfront.nl/products/endurance-bar-1,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_EnduranceBar_Cranberry_CP_Still_v1.jpg?v=1765811671&width=750,4.9 (14 reviews)
15551534662015,Oats,€13,Upfront,oats2-0,https://upfront.nl/products/oats2-0,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/IMG_4247.jpg?v=1771249723&width=750,4.1 (42 reviews)
15510012625279,Vegan Eiwit,€17,Upfront,vegan,https://upfront.nl/products/vegan,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_EiwitShake_Vanille_CP_Still_v1_00000_1.jpg?v=1772462504&width=750,3.1 (9 reviews)
15382721593727,Mini Clear Whey Bundel,€35,Upfront,clear-whey-bundel-krachtsportsale,https://upfront.nl/products/clear-whey-bundel-krachtsportsale,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_BundleFebruary_1_CP_Still_v1.jpg?v=1771936988&width=750,0 reviews
8864189448541,Eiwitcrisp,€20,Upfront,crispy-bar,https://upfront.nl/products/crispy-bar,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Eiwitcrisp_VanilleKaneel_CP_Still_v1.jpg?v=1765209875&width=750,4.7 (2367 reviews)
15246258078079,Choco Eiwitreep,€20,Upfront,choco-eiwitreep,https://upfront.nl/products/choco-eiwitreep,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_ChocoEiwitreep_Pindakaas_CP_Still_v1.jpg?v=1765195641&width=750,4.8 (368 reviews)
6575748087870,Eiwitreep,€20,UpfrontFood,eiwitreep,https://upfront.nl/products/eiwitreep,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Eiwitreep_VanilleCashew_CP_Still_v1.jpg?v=1765191106&width=750,4.5 (4449 reviews)
