name,price,link,image_url,vendor,handle,product_id,shelf_life,gekoeld,bevroren,weight_(g),volume_(l),inkoop,import_batch_size,import_delivery_time,,,,,,,,,,,,,,
Blauwe bessen (diepvries),"4,50",https://upfront.nl/products/blauwe-bessen-diepvries,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Diepvries_BlauweBessen_CP_Still_v1.jpg?v=1770979749&width=750,Upfront Food Store,blauwe-bessen-diepvries,15577003721087,14,0,1,500,1,"1,3",500,9,,,,,,,,,,,,,,
Bottenbouillon,"4,50",https://upfront.nl/products/bottenbouillon,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/SWebsite_Bottenbouillon_CP_Still_v2.jpg?v=1772793777&width=750,Upfront Food Store,bottenbouillon,15577005359487,20,0,0,600,"0,58","1,3",500,12,,,,,,,,,,,,,,
Frambozen (diepvries),"4,50",https://upfront.nl/products/frambozen-diepvries,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Diepvries_Frambozen_CP_Still_v1.jpg?v=1770979749&width=750,Upfront Food Store,frambozen-diepvries,15577003655551,14,0,1,500,1,"1,2",500,12,,,,,,,,,,,,,,
Gefermenteerde Groentemix,"4,50",https://upfront.nl/products/gefermenteerde-groentemix,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_GedermenteerdeGroenten_CP_Still_v1.jpg?v=1770979695&width=750,Upfront Food Store,gefermenteerde-groentemix,15577000935807,20,0,0,300,1,"1,2",500,9,,,,,,,,,,,,,,
Gehakt,"4,50",https://upfront.nl/products/gehakt,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Rundergehakt_CP_Still_v1.jpg?v=1771405424&width=750,Upfront Food Store,gehakt,15577007194495,7,1,0,250,"0,4","1,2",500,9,,,,,,,,,,,,,,
Mango,"4,50",https://upfront.nl/products/mango,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Mango_CP_Still_v1.jpg?v=1771408081&width=750,Upfront Food Store,mango,15576998773119,10,0,0,250,"0,6","1,2",400,9,,,,,,,,,,,,,,
Parmezaanse kaas,"4,50",https://upfront.nl/products/parmezaanse-kaas,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Parmigiano_CP_Still_v1_1.jpg?v=1771407388&width=750,Upfront Food Store,parmezaanse-kaas,15577001525631,14,1,0,200,"0,2","1,2",400,9,,,,,,,,,,,,,,
Pijnboompitten,"4,50",https://upfront.nl/products/pijnboompitten,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Pijnboompitten_CP_Still_v1.jpg?v=1770993903&width=750,Upfront Food Store,pijnboompitten,15577005687167,30,0,0,30,"0,15","1,2",800,9,,,,,,,,,,,,,,
Rundersaucijs,"4,50",https://upfront.nl/products/worst,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Rundersaucijs_CP_Still_v1.jpg?v=1771405424&width=750,Upfront Food Store,worst,15577006932351,8,1,0,250,"0,35","1,2",200,9,,,,,,,,,,,,,,
Gedroogde Mango,"4,70",https://upfront.nl/products/gedroogde-mango,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_GedroogdeMango_CP_Still_v1.jpg?v=1771403397&width=750,Upfront Food Store,gedroogde-mango,15577001656703,30,0,0,200,"0,75","1,2",200,5,,,,,,,,,,,,,,
Zuurdesem Pizza,"4,90",https://upfront.nl/products/zuurdesem-pizza-margherita,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_ZuurdesemPizza_CP_Still_v1.jpg?v=1771410648&width=750,Upfront Food Store,zuurdesem-pizza-margherita,15577003557247,10,1,0,400,"1,5","1,2",200,5,,,,,,,,,,,,,,
Mayonaise,"2,50",https://upfront.nl/products/mayonaise,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/Website_Mayonaise_CP_Still_v1.jpg?v=1770123253&width=750,Upfront Food Store,mayonaise,15577005031807,12,1,0,570,"0,7","0,8",400,5,,,,,,,,,,,,,,
Hazelnootpasta,5,https://upfront.nl/products/hazelnootpasta,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Hazelnootpasta_CP_Still_v1.jpg?v=1769447224&width=750,Upfront,hazelnootpasta,14723357540701,30,0,0,300,"0,35","1,5",600,5,,,,,,,,,,,,,,
Balsamico Azijn,5,https://upfront.nl/products/balsamico-azijn,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Balsamicoazijn_CP_Still_v1.jpg?v=1770976721&width=750,Upfront Food Store,balsamico-azijn,15577002508671,40,0,0,450,"0,5","1,5",400,5,,,,,,,,,,,,,,
Bieten Sap,5,https://upfront.nl/products/bieten-sap,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Sap_BietenAppelGember_CP_Still_v1_1.jpg?v=1771511184&width=750,Upfront Food Store,bieten-sap,15576996872575,14,0,0,750,"0,85","1,5",200,5,,,,,,,,,,,,,,
Cranberry Sap,5,https://upfront.nl/products/cranberry-sap,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Sap_CranberryBlaiweBessen_CP_Still_v1_1.jpg?v=1771511168&width=750,Upfront Food Store,cranberry-sap,15576996774271,14,1,0,750,"0,85","1,5",200,3,,,,,,,,,,,,,,
Rundervet,5,https://upfront.nl/products/rundervet,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Rundervet_CP_Still_v2.jpg?v=1770993817&width=750,Upfront Food Store,rundervet,15577005425023,10,1,0,250,"0,35","1,5",100,3,,,,,,,,,,,,,,
Amandel - Rozemarijn,"3,50",https://upfront.nl/products/amandel-rozemarijn,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_AmandelRozemarijn_CP_Still_v1_633de55d-6eb1-43d7-96cb-b68bf600bfa7.jpg?v=1771411792&width=750,Upfront Food Store,amandel-rozemarijn,15577003000191,21,0,0,60,"0,15",1,300,6,,,,,,,,,,,,,,
Cashew - Zout & Peper,"3,50",https://upfront.nl/products/cashew-zout-peper,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_CashewPepperZeezout_CP_Still_v1_b775809b-9241-4b97-ad05-b721c549ae41.jpg?v=1771411771&width=750,Upfront Food Store,cashew-zout-peper,15577002934655,21,0,0,115,"0,25",1,300,6,,,,,,,,,,,,,,
Pecan - Kaneel & Zeezout,"3,50",https://upfront.nl/products/pecan-kaneel-zeezout,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Noten_PecanKaneelZeezout_CP_Still_v1.jpg?v=1771411748&width=750,Upfront Food Store,pecan-kaneel-zeezout,15577002869119,21,0,0,105,"0,25",1,300,5,,,,,,,,,,,,,,
